team,win_rate,draw_rate,avg_goals_scored,avg_goals_conceded
Augsburg,0.3333333333333333,0.2127659574468085,1.3900709219858156,1.702127659574468
Empoli,0.1655172413793103,0.2137931034482758,1.1586206896551725,2.0068965517241377
Deportivo Alaves,0.2300884955752212,0.1769911504424778,1.0884955752212389,1.991150442477876
Luton Town,0.3333333333333333,0.0871212121212121,6.90530303030303,8.128787878787879
Real Betis,0.4,0.2434782608695652,1.5739130434782609,1.443478260869565
Fenerbahçe,0.491970802919708,0.1270072992700729,5.144525547445255,4.672992700729927
Union Berlin,0.3388429752066115,0.1735537190082644,1.4049586776859504,1.8925619834710743
Torino,0.3774834437086092,0.2582781456953642,1.7086092715231789,1.5827814569536425
Nice,0.4186046511627907,0.0930232558139534,7.465116279069767,7.774086378737541
Valencia,0.4705882352941176,0.2436974789915966,1.512605042016807,1.1512605042016806
Espagne,0.5210526315789473,0.2052631578947368,1.868421052631579,1.1842105263157894
Southampton,0.3129770992366412,0.1755725190839694,1.3969465648854962,1.8778625954198476
Italie,0.4489795918367347,0.2448979591836734,1.6326530612244898,1.1768707482993197
Monza,0.3133333333333333,0.1733333333333333,1.2933333333333332,1.9933333333333332
West Ham United,0.4081632653061224,0.1224489795918367,6.166180758017493,6.408163265306122
Gérone,0.3025210084033613,0.2352941176470588,1.546218487394958,2.0672268907563027
1. Heidenheim 1846,0.282051282051282,0.2478632478632478,1.4444444444444444,1.8376068376068373
Borussia Dortmund,0.410981697171381,0.1713810316139767,2.5058236272878536,2.4575707154742097
Ipswich Town,0.296551724137931,0.1862068965517241,1.2689655172413794,1.6482758620689657
Galatasaray,0.4412878787878788,0.1609848484848484,2.712121212121212,2.715909090909091
Lecce,0.3028169014084507,0.2676056338028169,1.1056338028169015,1.4507042253521127
Inter Miami,0.4681372549019608,0.0,3.474264705882353,3.627450980392157
Ukraine,0.2553191489361702,0.2340425531914893,1.1702127659574468,1.75177304964539
Bâle,0.2465753424657534,0.0821917808219178,6.705479452054795,8.445205479452055
Lille OSC,0.4452926208651399,0.1424936386768447,6.162849872773537,6.005089058524173
Werder Bremen,0.3801652892561983,0.2396694214876033,1.6115702479338845,1.7685950413223142
Tottenham Hotspur,0.4867256637168141,0.1460176991150442,3.883480825958702,3.610619469026549
Croatie,0.4045307443365696,0.2071197411003236,1.5048543689320388,1.4207119741100325
Benfica,0.3571428571428571,0.2321428571428571,1.4553571428571428,1.5535714285714286
Beşiktaş,0.4285714285714285,0.1700680272108843,1.8027210884353744,1.8231292517006803
Danemark,0.2550335570469799,0.261744966442953,1.12751677852349,1.5302013422818792
Milano,0.6331877729257642,0.2008733624454148,2.017467248908297,0.8820960698689956
St. Pauli,0.1707317073170731,0.1626016260162601,1.032520325203252,2.065040650406504
Qatar,0.1621621621621621,0.1148648648648648,0.8108108108108109,2.324324324324324
Sporting Clube de Portugal,0.5637065637065637,0.1621621621621621,1.996138996138996,1.3667953667953667
États-Unis,0.4133333333333333,0.22,1.5,1.413333333333333
Celta,0.3884711779448621,0.1177944862155388,5.791979949874687,6.0776942355889725
Holstein,0.1788617886178861,0.2357723577235772,1.1219512195121952,2.2113821138211383
Real Sociedad,0.5176470588235295,0.1764705882352941,1.9372549019607843,1.2980392156862746
Angleterre,0.5430622009569378,0.1961722488038277,2.3995215311004783,1.430622009569378
Venise,0.3691275167785235,0.2080536912751678,1.483221476510067,1.4899328859060403
Celtic,0.5761589403973509,0.1258278145695364,2.2582781456953644,1.490066225165563
Pays-Bas,0.4775510204081633,0.2489795918367346,1.8204081632653064,1.2285714285714286
1. FSV Mainz 05,0.3739837398373983,0.1951219512195122,1.6747967479674797,1.7235772357723578
Espanyol,0.2079207920792079,0.1782178217821782,1.0792079207920793,2.108910891089109
VfL Bochum,0.2183098591549295,0.2746478873239437,1.1267605633802815,1.7816901408450705
Villarreal,0.4460431654676259,0.1558752997601918,6.299760191846523,6.227817745803358
Argentine,0.6013071895424836,0.2156862745098039,1.830065359477124,0.8823529411764706
Fiorentine,0.5435779816513762,0.1399082568807339,6.176605504587156,5.426605504587156
Feyenoord,0.2990654205607476,0.1962616822429906,1.2990654205607477,1.766355140186916
Leipzig,0.6050420168067226,0.2100840336134453,2.184873949579832,1.1176470588235294
Club Brugge,0.2101910828025477,0.1401273885350318,1.2292993630573248,2.388535031847134
TSG 1899 Hoffenheim,0.3674911660777385,0.2120141342756183,1.646643109540636,1.7879858657243817
Allemagne,0.4397163120567376,0.2127659574468085,1.4609929078014183,1.2269503546099292
VfB Stuttgart,0.4017094017094017,0.2051282051282051,1.6581196581196582,1.8547008547008548
Séville,0.4814814814814814,0.2129629629629629,1.8611111111111112,1.5185185185185186
Norvège,0.3183856502242152,0.2331838565022421,1.493273542600897,1.852017937219731
Pologne,0.2876712328767123,0.2328767123287671,1.4246575342465753,1.9315068493150684
Athletic Bilbao,0.5082644628099173,0.2107438016528925,1.975206611570248,1.4421487603305785
Leganes,0.0657894736842105,0.1973684210526315,0.6842105263157895,2.289473684210526
VfL Wolfsburg,0.5,0.180327868852459,1.819672131147541,1.3934426229508197
Everton,0.3481675392670157,0.112565445026178,4.845549738219895,5.549738219895288
Como,0.3972602739726027,0.2602739726027397,1.6643835616438356,1.452054794520548
Majorque,0.247787610619469,0.1769911504424778,1.3097345132743363,1.8672566371681416
Parma,0.435064935064935,0.2337662337662337,1.9090909090909087,1.7012987012987013
Ajax,0.3961038961038961,0.2337662337662337,1.5909090909090908,1.6233766233766234
