team,avg_goals_scored_home,total_goals_scored_home,matches_played_home,avg_goals_conceded_home,avg_goals_scored_away,total_goals_scored_away,matches_played_away,avg_goals_conceded_away,avg_goals_scored,avg_goals_conceded,total_matches,win_rate,draw_rate
Leganes,0.6666666666666666,26,39,2.2051282051282053,0.7027027027027027,26.0,37.0,2.3783783783783785,0.6846846846846847,2.2917532917532917,76.0,0.5,0.2
Leicester City,1.2297297297297298,91,74,2.054054054054054,1.2394366197183098,88.0,71.0,1.8591549295774648,1.23458317472402,1.9566044918157592,145.0,0.5,0.2
Leipzig,2.1818181818181817,144,66,1.1515151515151516,2.1639344262295084,132.0,61.0,1.0655737704918034,2.172876304023845,1.1085444610034774,127.0,0.5,0.2
Levante UD,1.3157894736842106,25,19,1.736842105263158,1.3636363636363635,15.0,11.0,2.3636363636363638,1.339712918660287,2.050239234449761,30.0,0.5,0.2
Lille OSC,6.418918918918919,1425,222,6.108108108108108,6.035532994923858,1189.0,197.0,6.040609137055838,6.227225956921389,6.074358622581973,419.0,0.5,0.2
Liverpool,3.440186246418338,9605,2792,3.179083094555874,3.6019374724790842,8180.0,2271.0,3.3980625275209158,3.521061859448711,3.288572811038395,5063.0,0.5,0.2
Lombardia,2.925233644859813,939,321,2.1993769470404985,2.7484848484848485,907.0,330.0,2.1545454545454548,2.836859246672331,2.1769612007929764,651.0,0.5,0.2
Luton Town,6.7114093959731544,1000,149,8.174496644295303,7.13768115942029,985.0,138.0,8.028985507246377,6.924545277696723,8.101741075770839,287.0,0.5,0.2
Majorque,1.2835820895522387,86,67,1.8208955223880596,1.490566037735849,79.0,53.0,1.9433962264150944,1.387074063644044,1.8821458744015769,120.0,0.5,0.2
Manchester City,3.531867145421903,7869,2228,3.333482944344704,3.4683811129848228,8227.0,2372.0,3.4388701517706575,3.500124129203363,3.386176548057681,4600.0,0.5,0.2
Manchester United,4.655052264808362,1336,287,3.8780487804878048,4.558620689655172,1322.0,290.0,3.8379310344827586,4.606836477231767,3.8579899074852815,577.0,0.5,0.2
Mexique,1.2608695652173914,145,115,2.3391304347826085,1.0890410958904109,159.0,146.0,2.047945205479452,1.1749553305539011,2.1935378201310303,261.0,0.5,0.2
Milano,2.06140350877193,235,114,0.9298245614035088,2.016,252.0,125.0,0.832,2.038701754385965,0.8809122807017544,239.0,0.5,0.2
Monza,1.3764705882352941,117,85,1.9294117647058824,1.1818181818181819,91.0,77.0,2.142857142857143,1.279144385026738,2.0361344537815125,162.0,0.5,0.2
Morocco,1.1666666666666667,91,78,1.6794871794871795,1.6014760147601477,434.0,271.0,1.8007380073800738,1.3840713407134073,1.7401125934336266,349.0,0.5,0.2
Napoli,2.7794117647058822,567,204,2.9215686274509802,2.8058252427184467,578.0,206.0,2.9902912621359223,2.7926185037121645,2.9559299447934513,410.0,0.5,0.2
Newcastle United,4.434628975265018,1255,283,4.448763250883392,4.584837545126354,1270.0,277.0,3.888086642599278,4.509733260195686,4.168424946741335,560.0,0.5,0.2
Nice,7.569696969696969,1249,165,7.684848484848485,7.49375,1199.0,160.0,7.71875,7.531723484848484,7.701799242424242,325.0,0.5,0.2
Norvège,1.4134615384615385,294,208,2.0336538461538463,1.763157894736842,134.0,76.0,1.6842105263157894,1.5883097165991904,1.8589321862348178,284.0,0.5,0.2
Nottingham Forest,5.102803738317757,1092,214,6.182242990654205,4.675,935.0,200.0,5.475,4.888901869158879,5.828621495327102,414.0,0.5,0.2
Olympiacos,4.5,1494,332,4.490963855421687,4.615853658536586,1514.0,328.0,4.804878048780488,4.557926829268293,4.647920952101087,660.0,0.5,0.2
Olympique Lyonnais,2.3381642512077296,484,207,2.9613526570048307,2.386138613861386,482.0,202.0,3.00990099009901,2.362151432534558,2.9856268235519203,409.0,0.5,0.2
Osasuna,1.3518518518518519,73,54,1.962962962962963,1.4,91.0,65.0,1.5076923076923077,1.3759259259259258,1.7353276353276352,119.0,0.5,0.2
